Date(UTC),Type,Amount,Asset,symbol
2022-09-08 14:07:18,COMMISSION,-0.00178083,BNB,BTCBUSD
2022-09-08 14:07:15,COMMISSION,-0.00089083,BNB,BTCBUSD
2022-09-08 14:07:15,REALIZED_PNL,-2.48160000,BUSD,BTCBUSD
2022-09-08 14:03:02,COMMISSION,-0.00070265,BNB,BTCBUSD
2022-09-08 14:03:02,COMMISSION,-0.00018491,BNB,BTCBUSD
2022-09-08 14:03:00,COMMISSION,-0.00044361,BNB,BTCBUSD
2022-09-08 14:03:00,REALIZED_PNL,-1.15200000,BUSD,BTCBUSD
2022-09-08 14:01:46,COMMISSION,-0.00044413,BNB,BTCBUSD
2022-09-08 14:01:44,COMMISSION,-0.00022207,BNB,BTCBUSD
2022-09-08 14:01:44,REALIZED_PNL,-0.62760000,BUSD,BTCBUSD
2022-09-08 14:01:01,COMMISSION,-0.00022222,BNB,BTCBUSD
2022-09-08 14:00:59,COMMISSION,-0.00011107,BNB,BTCBUSD
2022-09-08 14:00:59,REALIZED_PNL,-0.29520000,BUSD,BTCBUSD
2022-09-08 13:57:18,COMMISSION,-0.00011116,BNB,BTCBUSD
2022-09-08 13:57:15,COMMISSION,-0.00011118,BNB,BTCBUSD
2022-09-08 13:57:15,REALIZED_PNL,0.29220000,BUSD,BTCBUSD
2022-09-08 13:55:18,COMMISSION,-0.00011121,BNB,BTCBUSD
2022-09-08 13:55:16,COMMISSION,-0.00022240,BNB,BTCBUSD
2022-09-08 13:55:16,REALIZED_PNL,0.55920000,BUSD,BTCBUSD
2022-09-08 13:50:25,COMMISSION,-0.00022267,BNB,BTCBUSD
2022-09-08 13:50:23,COMMISSION,-0.00011123,BNB,BTCBUSD
2022-09-08 13:50:23,REALIZED_PNL,-0.31200000,BUSD,BTCBUSD
2022-09-08 13:48:05,TRANSFER,0.10675443,BNB,--
2022-09-08 13:46:29,TRANSFER,-30.00000000,BUSD,--
2022-09-08 13:46:18,COMMISSION,-0.03471840,BUSD,BTCBUSD
2022-09-08 13:46:16,COMMISSION,-0.03471912,BUSD,BTCBUSD
2022-09-08 13:46:16,REALIZED_PNL,0.27720000,BUSD,BTCBUSD
2022-09-08 13:44:46,COMMISSION,-0.03480228,BUSD,BTCBUSD
2022-09-08 13:44:44,COMMISSION,-0.03478014,BUSD,BTCBUSD
2022-09-08 13:44:44,REALIZED_PNL,0.29280000,BUSD,BTCBUSD
2022-09-08 13:42:44,COMMISSION,-0.03469230,BUSD,BTCBUSD
2022-09-08 13:42:42,COMMISSION,-0.27757295,BUSD,BTCBUSD
2022-09-08 13:42:42,REALIZED_PNL,2.39040000,BUSD,BTCBUSD
2022-09-08 13:42:02,COMMISSION,-0.27685584,BUSD,BTCBUSD
2022-09-08 13:41:59,COMMISSION,-0.13844880,BUSD,BTCBUSD
2022-09-08 13:41:59,REALIZED_PNL,-1.25520000,BUSD,BTCBUSD
2022-09-08 13:38:36,COMMISSION,-0.13807224,BUSD,BTCBUSD
2022-09-08 13:38:34,COMMISSION,-0.06905268,BUSD,BTCBUSD
2022-09-08 13:38:34,REALIZED_PNL,-0.60909999,BUSD,BTCBUSD
2022-09-08 13:32:25,COMMISSION,-0.02295660,BUSD,BTCBUSD
2022-09-08 13:32:25,COMMISSION,-0.01721744,BUSD,BTCBUSD
2022-09-08 13:32:25,COMMISSION,-0.02869590,BUSD,BTCBUSD
2022-09-08 13:32:21,COMMISSION,-0.03444246,BUSD,BTCBUSD
2022-09-08 13:32:21,REALIZED_PNL,-0.30060000,BUSD,BTCBUSD
2022-09-08 13:12:42,COMMISSION,-0.03435228,BUSD,BTCBUSD
2022-09-08 13:12:41,COMMISSION,-0.13735223,BUSD,BTCBUSD
2022-09-08 13:12:41,REALIZED_PNL,1.14240000,BUSD,BTCBUSD
2022-09-08 13:11:38,COMMISSION,-0.13700952,BUSD,BTCBUSD
2022-09-08 13:11:36,COMMISSION,-0.00570840,BUSD,BTCBUSD
2022-09-08 13:11:36,REALIZED_PNL,-0.04490000,BUSD,BTCBUSD
2022-09-08 13:11:36,COMMISSION,-0.06279240,BUSD,BTCBUSD
2022-09-08 13:11:36,REALIZED_PNL,-0.49390000,BUSD,BTCBUSD
2022-09-08 13:08:15,COMMISSION,-0.03433122,BUSD,BTCBUSD
2022-09-08 13:08:15,COMMISSION,-0.03433122,BUSD,BTCBUSD
2022-09-08 13:08:12,COMMISSION,-0.03431232,BUSD,BTCBUSD
2022-09-08 13:08:12,REALIZED_PNL,-0.41700000,BUSD,BTCBUSD
2022-09-08 12:57:31,COMMISSION,-0.03443742,BUSD,BTCBUSD
2022-09-08 12:57:30,COMMISSION,-0.03443922,BUSD,BTCBUSD
2022-09-08 12:57:30,REALIZED_PNL,0.28140000,BUSD,BTCBUSD
2022-09-08 12:50:23,COMMISSION,-0.03452364,BUSD,BTCBUSD
2022-09-08 12:50:22,COMMISSION,-0.06904728,BUSD,BTCBUSD
2022-09-08 12:50:22,REALIZED_PNL,0.56400000,BUSD,BTCBUSD
2022-09-08 12:43:35,COMMISSION,-0.06887807,BUSD,BTCBUSD
2022-09-08 12:43:33,COMMISSION,-0.03443886,BUSD,BTCBUSD
2022-09-08 12:43:33,REALIZED_PNL,-0.27360000,BUSD,BTCBUSD
2022-09-08 12:34:21,COMMISSION,-0.03452094,BUSD,BTCBUSD
2022-09-08 12:34:20,COMMISSION,-0.13808376,BUSD,BTCBUSD
2022-09-08 12:34:20,REALIZED_PNL,1.17840000,BUSD,BTCBUSD
2022-09-08 12:28:14,COMMISSION,-0.13266906,BUSD,BTCBUSD
2022-09-08 12:28:14,COMMISSION,-0.00001864,BNB,BTCBUSD
2022-09-08 12:28:11,COMMISSION,-0.06922548,BUSD,BTCBUSD
2022-09-08 12:28:11,REALIZED_PNL,-0.59280000,BUSD,BTCBUSD
2022-09-08 12:22:54,COMMISSION,-0.06940332,BUSD,BTCBUSD
2022-09-08 12:22:48,COMMISSION,-0.03470129,BUSD,BTCBUSD
2022-09-08 12:22:48,REALIZED_PNL,-0.34140000,BUSD,BTCBUSD
2022-09-08 12:21:23,COMMISSION,-0.03459888,BUSD,BTCBUSD
2022-09-08 12:21:21,COMMISSION,-0.69787113,BUSD,BTCBUSD
2022-09-08 12:21:21,REALIZED_PNL,5.60230000,BUSD,BTCBUSD
2022-09-08 12:21:21,COMMISSION,-0.40949463,BUSD,BTCBUSD
2022-09-08 12:21:21,REALIZED_PNL,3.28730000,BUSD,BTCBUSD
2022-09-08 12:17:56,COMMISSION,-1.11003264,BUSD,BTCBUSD
2022-09-08 12:17:52,COMMISSION,-0.51517650,BUSD,BTCBUSD
2022-09-08 12:17:52,REALIZED_PNL,-5.29550000,BUSD,BTCBUSD
2022-09-08 12:17:52,COMMISSION,-0.00013060,BNB,BTCBUSD
2022-09-08 12:17:52,REALIZED_PNL,-0.41580000,BUSD,BTCBUSD
2022-09-08 12:16:07,COMMISSION,-0.55740959,BUSD,BTCBUSD
2022-09-08 12:16:04,COMMISSION,-0.27864000,BUSD,BTCBUSD
2022-09-08 12:16:04,REALIZED_PNL,-2.64480000,BUSD,BTCBUSD
2022-09-08 11:33:03,COMMISSION,-0.27784656,BUSD,BTCBUSD
2022-09-08 11:32:59,COMMISSION,-0.13889952,BUSD,BTCBUSD
2022-09-08 11:32:59,REALIZED_PNL,-1.10400000,BUSD,BTCBUSD
2022-09-08 11:07:25,COMMISSION,-0.13923072,BUSD,BTCBUSD
2022-09-08 11:07:23,COMMISSION,-0.00022425,BNB,BTCBUSD
2022-09-08 11:07:23,REALIZED_PNL,-0.58200000,BUSD,BTCBUSD
2022-09-08 10:53:59,COMMISSION,-0.00022386,BNB,BTCBUSD
2022-09-08 10:53:57,COMMISSION,-0.00011193,BNB,BTCBUSD
2022-09-08 10:53:57,REALIZED_PNL,-0.28560000,BUSD,BTCBUSD
2022-09-08 10:48:35,COMMISSION,-0.00011196,BNB,BTCBUSD
2022-09-08 10:48:33,COMMISSION,-0.00011199,BNB,BTCBUSD
2022-09-08 10:48:33,REALIZED_PNL,0.26940000,BUSD,BTCBUSD
2022-09-08 10:12:42,COMMISSION,-0.00011193,BNB,BTCBUSD
2022-09-08 10:12:40,COMMISSION,-0.00011194,BNB,BTCBUSD
2022-09-08 10:12:40,REALIZED_PNL,0.30060000,BUSD,BTCBUSD
2022-09-08 10:10:06,COMMISSION,-0.00011210,BNB,BTCBUSD
2022-09-08 10:10:03,COMMISSION,-0.00022440,BNB,BTCBUSD
2022-09-08 10:10:03,REALIZED_PNL,0.71640000,BUSD,BTCBUSD
2022-09-08 10:02:18,COMMISSION,-0.00022419,BNB,BTCBUSD
2022-09-08 10:02:16,COMMISSION,-0.00003738,BNB,BTCBUSD
2022-09-08 10:02:16,REALIZED_PNL,-0.08580000,BUSD,BTCBUSD
2022-09-08 09:50:19,COMMISSION,-0.00003734,BNB,BTCBUSD
2022-09-08 09:50:17,COMMISSION,-0.00007468,BNB,BTCBUSD
2022-09-08 09:50:17,REALIZED_PNL,0.18120000,BUSD,BTCBUSD
2022-09-08 09:48:02,COMMISSION,-0.00007472,BNB,BTCBUSD
2022-09-08 09:47:59,COMMISSION,-0.00001868,BNB,BTCBUSD
2022-09-08 09:47:59,REALIZED_PNL,-0.04550000,BUSD,BTCBUSD
2022-09-08 09:20:49,COMMISSION,-0.00001867,BNB,BTCBUSD
2022-09-08 09:20:47,COMMISSION,-0.00007469,BNB,BTCBUSD
2022-09-08 09:20:47,REALIZED_PNL,0.18000000,BUSD,BTCBUSD
2022-09-08 08:23:33,COMMISSION,-0.00007457,BNB,BTCBUSD
2022-09-08 08:23:31,COMMISSION,-0.00003729,BNB,BTCBUSD
2022-09-08 08:23:31,REALIZED_PNL,-0.09040000,BUSD,BTCBUSD
2022-09-08 08:00:02,FUNDING_FEE,0.00200473,BUSD,BTCBUSD
2022-09-08 07:53:43,COMMISSION,-0.00003738,BNB,BTCBUSD
2022-09-08 07:53:41,COMMISSION,-0.00001869,BNB,BTCBUSD
2022-09-08 07:53:41,REALIZED_PNL,-0.04820000,BUSD,BTCBUSD
2022-09-08 07:39:53,COMMISSION,-0.00001869,BNB,BTCBUSD
2022-09-08 07:39:52,COMMISSION,-0.00014954,BNB,BTCBUSD
2022-09-08 07:39:52,REALIZED_PNL,0.35760000,BUSD,BTCBUSD
2022-09-08 07:32:23,COMMISSION,-0.00014945,BNB,BTCBUSD
2022-09-08 07:32:21,COMMISSION,-0.00007474,BNB,BTCBUSD
2022-09-08 07:32:21,REALIZED_PNL,-0.19000000,BUSD,BTCBUSD
2022-09-08 07:23:14,COMMISSION,-0.00007457,BNB,BTCBUSD
2022-09-08 07:23:12,COMMISSION,-0.00001864,BNB,BTCBUSD
2022-09-08 07:23:12,REALIZED_PNL,-0.04750000,BUSD,BTCBUSD
2022-09-08 07:23:12,COMMISSION,-0.00001864,BNB,BTCBUSD
2022-09-08 07:23:12,REALIZED_PNL,-0.04750000,BUSD,BTCBUSD
2022-09-08 07:21:41,COMMISSION,-0.00003733,BNB,BTCBUSD
2022-09-08 07:21:38,COMMISSION,-0.00001867,BNB,BTCBUSD
2022-09-08 07:21:38,REALIZED_PNL,-0.04590000,BUSD,BTCBUSD
2022-09-08 07:21:06,COMMISSION,-0.00001864,BNB,BTCBUSD
2022-09-08 07:21:02,COMMISSION,-0.00001863,BNB,BTCBUSD
2022-09-08 07:21:02,REALIZED_PNL,0.05670000,BUSD,BTCBUSD
2022-09-08 07:17:34,COMMISSION,-0.00001859,BNB,BTCBUSD
2022-09-08 07:17:31,COMMISSION,-0.00001859,BNB,BTCBUSD
2022-09-08 07:17:31,REALIZED_PNL,0.05130000,BUSD,BTCBUSD
2022-09-08 07:12:08,COMMISSION,-0.00001862,BNB,BTCBUSD
2022-09-08 07:12:06,COMMISSION,-0.00001860,BNB,BTCBUSD
2022-09-08 07:12:06,REALIZED_PNL,0.05650000,BUSD,BTCBUSD
2022-09-08 06:30:30,COMMISSION,-0.00001867,BNB,BTCBUSD
2022-09-08 06:30:28,COMMISSION,-0.00003735,BNB,BTCBUSD
2022-09-08 06:30:28,REALIZED_PNL,0.10600000,BUSD,BTCBUSD
2022-09-08 05:20:05,COMMISSION,-0.00003736,BNB,BTCBUSD
2022-09-08 05:20:03,COMMISSION,-0.00001868,BNB,BTCBUSD
2022-09-08 05:20:03,REALIZED_PNL,-0.04740000,BUSD,BTCBUSD
2022-09-08 04:34:25,COMMISSION,-0.00001866,BNB,BTCBUSD
2022-09-08 04:34:23,COMMISSION,-0.00001866,BNB,BTCBUSD
2022-09-08 04:34:23,REALIZED_PNL,0.04810000,BUSD,BTCBUSD
2022-09-08 04:24:57,COMMISSION,-0.00001860,BNB,BTCBUSD
2022-09-08 04:24:55,COMMISSION,-0.00001861,BNB,BTCBUSD
2022-09-08 04:24:55,REALIZED_PNL,0.04300000,BUSD,BTCBUSD
2022-09-08 04:14:15,COMMISSION,-0.00001860,BNB,BTCBUSD
2022-09-08 04:14:13,COMMISSION,-0.00001859,BNB,BTCBUSD
2022-09-08 04:14:13,REALIZED_PNL,0.04560000,BUSD,BTCBUSD
2022-09-08 02:27:40,COMMISSION,-0.00001855,BNB,BTCBUSD
2022-09-08 02:24:06,COMMISSION,-0.00237544,BNB,BTCBUSD
2022-09-08 02:24:06,REALIZED_PNL,3.58400000,BUSD,BTCBUSD
2022-09-08 02:12:20,COMMISSION,-0.00237217,BNB,BTCBUSD
2022-09-08 02:12:11,COMMISSION,-0.00029656,BNB,BTCBUSD
2022-09-08 02:12:11,REALIZED_PNL,-0.69760000,BUSD,BTCBUSD
2022-09-08 02:10:37,TRANSFER,427.32928320,BUSD,--
2022-09-08 01:42:51,COMMISSION,-0.00029744,BNB,BTCBUSD
2022-09-08 01:42:48,COMMISSION,-0.00018589,BNB,BTCBUSD
2022-09-08 01:42:48,REALIZED_PNL,-0.35240000,BUSD,BTCBUSD
2022-09-08 01:41:06,COMMISSION,-0.00005952,BNB,BTCBUSD
2022-09-08 01:41:03,COMMISSION,-0.00001488,BNB,BTCBUSD
2022-09-08 01:40:56,COMMISSION,-0.00007442,BNB,BTCBUSD
2022-09-08 01:40:56,REALIZED_PNL,0.24520000,BUSD,BTCBUSD
2022-09-08 01:34:44,COMMISSION,-0.00007450,BNB,BTCBUSD
2022-09-08 01:34:36,COMMISSION,-0.00003725,BNB,BTCBUSD
2022-09-08 01:34:36,REALIZED_PNL,0.08560000,BUSD,BTCBUSD
2022-09-08 01:06:18,COMMISSION,-0.00003731,BNB,BTCBUSD
2022-09-08 01:06:12,COMMISSION,-0.00001865,BNB,BTCBUSD
2022-09-08 01:06:12,REALIZED_PNL,0.04820000,BUSD,BTCBUSD
2022-09-08 00:42:46,COMMISSION,-0.00001868,BNB,BTCBUSD
2022-09-08 00:36:35,COMMISSION,-0.00007475,BNB,BTCBUSD
2022-09-08 00:36:35,REALIZED_PNL,0.20800000,BUSD,BTCBUSD
2022-09-08 00:31:57,COMMISSION,-0.00002995,BNB,BTCBUSD
2022-09-08 00:31:47,COMMISSION,-0.00007483,BNB,BTCBUSD
2022-09-08 00:31:47,REALIZED_PNL,0.19560000,BUSD,BTCBUSD
2022-09-08 00:04:46,COMMISSION,-0.00007471,BNB,BTCBUSD
2022-09-08 00:04:41,COMMISSION,-0.00014947,BNB,BTCBUSD
2022-09-08 00:04:41,REALIZED_PNL,0.37040000,BUSD,BTCBUSD
2022-09-08 00:03:00,COMMISSION,-0.00014933,BNB,BTCBUSD
2022-09-08 00:02:53,COMMISSION,-0.00014937,BNB,BTCBUSD
2022-09-08 00:02:53,REALIZED_PNL,0.36560000,BUSD,BTCBUSD
2022-09-08 00:00:02,FUNDING_FEE,-0.00239772,BUSD,BTCBUSD
2022-09-07 23:55:05,TRANSFER,0.00971524,BNB,--
2022-09-07 23:54:21,COMMISSION,-0.04623432,BUSD,BTCBUSD
2022-09-07 23:54:14,COMMISSION,-0.01155654,BUSD,BTCBUSD
2022-09-07 23:54:14,REALIZED_PNL,-0.10380000,BUSD,BTCBUSD
2022-09-07 23:27:32,COMMISSION,-0.01158768,BUSD,BTCBUSD
2022-09-07 23:11:29,COMMISSION,-0.02317284,BUSD,BTCBUSD
2022-09-07 23:11:29,REALIZED_PNL,-0.05400000,BUSD,BTCBUSD
2022-09-07 22:39:22,COMMISSION,-0.02318904,BUSD,BTCBUSD
2022-09-07 22:39:16,COMMISSION,-0.00579723,BUSD,BTCBUSD
2022-09-07 22:39:16,REALIZED_PNL,-0.04620000,BUSD,BTCBUSD
2022-09-07 22:35:26,COMMISSION,-0.00581109,BUSD,BTCBUSD
2022-09-07 21:34:00,COMMISSION,-0.02321028,BUSD,BTCBUSD
2022-09-07 21:34:00,REALIZED_PNL,-0.00200000,BUSD,BTCBUSD
2022-09-07 21:27:53,COMMISSION,-0.02321088,BUSD,BTCBUSD
2022-09-07 21:27:46,COMMISSION,-0.01160532,BUSD,BTCBUSD
2022-09-07 21:27:46,REALIZED_PNL,-0.09500000,BUSD,BTCBUSD
2022-09-07 21:22:13,COMMISSION,-0.01163382,BUSD,BTCBUSD
2022-09-07 21:10:28,COMMISSION,-0.01162896,BUSD,BTCBUSD
2022-09-07 21:10:28,REALIZED_PNL,0.09220000,BUSD,BTCBUSD
2022-09-07 21:02:59,COMMISSION,-0.00466264,BUSD,BTCBUSD
2022-09-07 20:59:14,COMMISSION,-0.00581325,BUSD,BTCBUSD
2022-09-07 20:59:14,REALIZED_PNL,-0.05020000,BUSD,BTCBUSD
2022-09-07 20:56:13,COMMISSION,-0.00582831,BUSD,BTCBUSD
2022-09-07 20:54:40,COMMISSION,-0.00582525,BUSD,BTCBUSD
2022-09-07 20:54:40,REALIZED_PNL,0.05190000,BUSD,BTCBUSD
2022-09-07 20:45:45,COMMISSION,-0.00580968,BUSD,BTCBUSD
2022-09-07 20:45:32,COMMISSION,-0.00581244,BUSD,BTCBUSD
2022-09-07 20:45:32,REALIZED_PNL,0.06840000,BUSD,BTCBUSD
2022-09-07 20:45:06,COMMISSION,-0.00579192,BUSD,BTCBUSD
2022-09-07 20:44:20,COMMISSION,-0.09264288,BUSD,BTCBUSD
2022-09-07 20:44:20,REALIZED_PNL,-0.78560000,BUSD,BTCBUSD
2022-09-07 20:39:49,COMMISSION,-0.09240720,BUSD,BTCBUSD
2022-09-07 20:39:44,COMMISSION,-0.04620360,BUSD,BTCBUSD
2022-09-07 20:39:44,REALIZED_PNL,-0.26480000,BUSD,BTCBUSD
2022-09-07 20:37:51,COMMISSION,-0.04628304,BUSD,BTCBUSD
2022-09-07 20:37:47,COMMISSION,-0.02314476,BUSD,BTCBUSD
2022-09-07 20:37:47,REALIZED_PNL,-0.13560000,BUSD,BTCBUSD
2022-09-07 20:37:12,COMMISSION,-0.02310408,BUSD,BTCBUSD
2022-09-07 20:37:08,COMMISSION,-0.01155306,BUSD,BTCBUSD
2022-09-07 20:37:08,REALIZED_PNL,-0.06180000,BUSD,BTCBUSD
2022-09-07 20:36:26,COMMISSION,-0.01157160,BUSD,BTCBUSD
2022-09-07 20:27:55,COMMISSION,-0.01152198,BUSD,BTCBUSD
2022-09-07 20:27:55,REALIZED_PNL,0.00060000,BUSD,BTCBUSD
2022-09-07 20:27:17,COMMISSION,-0.01152180,BUSD,BTCBUSD
2022-09-07 20:07:29,COMMISSION,-0.00569583,BUSD,BTCBUSD
2022-09-07 20:07:29,REALIZED_PNL,-0.01530000,BUSD,BTCBUSD
2022-09-07 20:05:37,COMMISSION,-0.00570042,BUSD,BTCBUSD
2022-09-07 19:56:04,COMMISSION,-0.01142742,BUSD,BTCBUSD
2022-09-07 19:56:04,REALIZED_PNL,-0.04180000,BUSD,BTCBUSD
2022-09-07 19:43:28,COMMISSION,-0.01143996,BUSD,BTCBUSD
2022-09-07 19:42:32,COMMISSION,-0.01144152,BUSD,BTCBUSD
2022-09-07 19:42:32,REALIZED_PNL,-0.01000000,BUSD,BTCBUSD
2022-09-07 19:41:26,COMMISSION,-0.01144452,BUSD,BTCBUSD
2022-09-07 19:37:24,COMMISSION,-0.01145094,BUSD,BTCBUSD
2022-09-07 19:37:24,REALIZED_PNL,-0.04820000,BUSD,BTCBUSD
2022-09-07 19:23:19,COMMISSION,-0.01146540,BUSD,BTCBUSD
2022-09-07 19:17:01,COMMISSION,-0.00573873,BUSD,BTCBUSD
2022-09-07 19:17:01,REALIZED_PNL,-0.02530000,BUSD,BTCBUSD
2022-09-07 19:17:01,COMMISSION,-0.00573876,BUSD,BTCBUSD
2022-09-07 19:17:01,REALIZED_PNL,-0.02520000,BUSD,BTCBUSD
2022-09-07 19:14:32,COMMISSION,-0.01149264,BUSD,BTCBUSD
2022-09-07 19:09:14,COMMISSION,-0.01145562,BUSD,BTCBUSD
2022-09-07 19:09:14,REALIZED_PNL,0.09300000,BUSD,BTCBUSD
2022-09-07 19:03:55,COMMISSION,-0.01142772,BUSD,BTCBUSD
2022-09-07 19:01:14,COMMISSION,-0.01144038,BUSD,BTCBUSD
2022-09-07 19:01:14,REALIZED_PNL,-0.00020000,BUSD,BTCBUSD
2022-09-07 18:59:32,COMMISSION,-0.01144044,BUSD,BTCBUSD
2022-09-07 18:56:32,COMMISSION,-0.01146264,BUSD,BTCBUSD
2022-09-07 18:56:32,REALIZED_PNL,-0.00660000,BUSD,BTCBUSD
2022-09-07 18:53:22,COMMISSION,-0.01146462,BUSD,BTCBUSD
2022-09-07 18:48:21,COMMISSION,-0.01147452,BUSD,BTCBUSD
2022-09-07 18:48:21,REALIZED_PNL,0.06180000,BUSD,BTCBUSD
2022-09-07 18:47:46,COMMISSION,-0.01145598,BUSD,BTCBUSD
2022-09-07 18:40:13,COMMISSION,-0.01140558,BUSD,BTCBUSD
2022-09-07 18:40:13,REALIZED_PNL,0.08080000,BUSD,BTCBUSD
2022-09-07 18:32:37,COMMISSION,-0.01138134,BUSD,BTCBUSD
2022-09-07 18:17:06,COMMISSION,-0.01138200,BUSD,BTCBUSD
2022-09-07 18:17:06,REALIZED_PNL,-0.03240000,BUSD,BTCBUSD
2022-09-07 18:16:00,COMMISSION,-0.01139172,BUSD,BTCBUSD
2022-09-07 18:13:52,COMMISSION,-0.01138668,BUSD,BTCBUSD
2022-09-07 18:13:52,REALIZED_PNL,0.00480000,BUSD,BTCBUSD
2022-09-07 18:13:07,COMMISSION,-0.01138524,BUSD,BTCBUSD
2022-09-07 18:08:59,COMMISSION,-0.01138974,BUSD,BTCBUSD
2022-09-07 18:08:59,REALIZED_PNL,-0.08580000,BUSD,BTCBUSD
2022-09-07 18:05:29,COMMISSION,-0.01141548,BUSD,BTCBUSD
2022-09-07 17:55:43,COMMISSION,-0.01140822,BUSD,BTCBUSD
2022-09-07 17:55:43,REALIZED_PNL,0.06940000,BUSD,BTCBUSD
2022-09-07 17:44:31,COMMISSION,-0.01138740,BUSD,BTCBUSD
2022-09-07 17:44:30,COMMISSION,-0.01138734,BUSD,BTCBUSD
2022-09-07 17:44:30,REALIZED_PNL,0.06180000,BUSD,BTCBUSD
2022-09-07 17:42:09,COMMISSION,-0.01136880,BUSD,BTCBUSD
2022-09-07 17:42:07,COMMISSION,-0.02273748,BUSD,BTCBUSD
2022-09-07 17:42:07,REALIZED_PNL,0.11160000,BUSD,BTCBUSD
2022-09-07 17:02:23,COMMISSION,-0.00908160,BUSD,BTCBUSD
2022-09-07 17:02:10,COMMISSION,-0.01135284,BUSD,BTCBUSD
2022-09-07 17:02:10,REALIZED_PNL,-0.05120000,BUSD,BTCBUSD
2022-09-07 16:57:13,COMMISSION,-0.01133748,BUSD,BTCBUSD
2022-09-07 16:57:11,COMMISSION,-0.02267136,BUSD,BTCBUSD
2022-09-07 16:57:11,REALIZED_PNL,0.10880000,BUSD,BTCBUSD
2022-09-07 16:53:49,COMMISSION,-0.00908160,BUSD,BTCBUSD
2022-09-07 16:51:49,COMMISSION,-0.01135200,BUSD,BTCBUSD
2022-09-07 16:51:49,REALIZED_PNL,-0.04000000,BUSD,BTCBUSD
2022-09-07 16:42:15,COMMISSION,-0.01136400,BUSD,BTCBUSD
2022-09-07 16:38:56,COMMISSION,-0.02272512,BUSD,BTCBUSD
2022-09-07 16:38:56,REALIZED_PNL,0.20040000,BUSD,BTCBUSD
2022-09-07 16:34:57,COMMISSION,-0.00906599,BUSD,BTCBUSD
2022-09-07 16:33:52,COMMISSION,-0.01133328,BUSD,BTCBUSD
2022-09-07 16:33:52,REALIZED_PNL,-0.06260000,BUSD,BTCBUSD
2022-09-07 16:22:11,COMMISSION,-0.00452580,BUSD,BTCBUSD
2022-09-07 16:22:02,COMMISSION,-0.02262864,BUSD,BTCBUSD
2022-09-07 16:22:02,REALIZED_PNL,0.12120000,BUSD,BTCBUSD
2022-09-07 16:12:36,COMMISSION,-0.00906599,BUSD,BTCBUSD
2022-09-07 16:11:12,COMMISSION,-0.01133238,BUSD,BTCBUSD
2022-09-07 16:11:12,REALIZED_PNL,-0.05760000,BUSD,BTCBUSD
2022-09-07 16:04:11,COMMISSION,-0.01134966,BUSD,BTCBUSD
2022-09-07 16:04:10,COMMISSION,-0.02269920,BUSD,BTCBUSD
2022-09-07 16:04:10,REALIZED_PNL,0.11400000,BUSD,BTCBUSD
2022-09-07 16:00:02,FUNDING_FEE,0.00641494,BUSD,BTCBUSD
2022-09-07 15:56:47,COMMISSION,-0.00906599,BUSD,BTCBUSD
2022-09-07 15:54:29,COMMISSION,-0.01133280,BUSD,BTCBUSD
2022-09-07 15:54:29,REALIZED_PNL,-0.08520000,BUSD,BTCBUSD
2022-09-07 15:44:30,COMMISSION,-0.01130724,BUSD,BTCBUSD
2022-09-07 15:44:28,COMMISSION,-0.01130538,BUSD,BTCBUSD
2022-09-07 15:44:28,REALIZED_PNL,0.12500000,BUSD,BTCBUSD
2022-09-07 14:39:20,COMMISSION,-0.01134288,BUSD,BTCBUSD
2022-09-07 14:39:18,COMMISSION,-0.00567018,BUSD,BTCBUSD
2022-09-07 14:39:18,REALIZED_PNL,-0.04170000,BUSD,BTCBUSD
2022-09-07 14:32:50,COMMISSION,-0.00568269,BUSD,BTCBUSD
2022-09-07 14:32:26,COMMISSION,-0.01136166,BUSD,BTCBUSD
2022-09-07 14:32:26,REALIZED_PNL,-0.07240000,BUSD,BTCBUSD
2022-09-07 14:29:25,COMMISSION,-0.01133994,BUSD,BTCBUSD
2022-09-07 14:28:20,COMMISSION,-0.00566466,BUSD,BTCBUSD
2022-09-07 14:28:20,REALIZED_PNL,-0.02220000,BUSD,BTCBUSD
2022-09-07 14:25:44,COMMISSION,-0.00226320,BUSD,BTCBUSD
2022-09-07 14:22:05,COMMISSION,-0.02261952,BUSD,BTCBUSD
2022-09-07 14:22:05,REALIZED_PNL,-0.03960000,BUSD,BTCBUSD
2022-09-07 14:19:48,COMMISSION,-0.02260764,BUSD,BTCBUSD
2022-09-07 14:18:52,COMMISSION,-0.00565101,BUSD,BTCBUSD
2022-09-07 14:18:52,REALIZED_PNL,0.01690000,BUSD,BTCBUSD
2022-09-07 14:16:58,COMMISSION,-0.00564594,BUSD,BTCBUSD
2022-09-07 14:14:32,COMMISSION,-0.01130466,BUSD,BTCBUSD
2022-09-07 14:14:32,REALIZED_PNL,-0.00020000,BUSD,BTCBUSD
2022-09-07 14:14:24,COMMISSION,-0.01130460,BUSD,BTCBUSD
2022-09-07 14:14:12,COMMISSION,-0.01130550,BUSD,BTCBUSD
2022-09-07 14:14:12,REALIZED_PNL,-0.00900000,BUSD,BTCBUSD
2022-09-07 14:12:45,COMMISSION,-0.01130280,BUSD,BTCBUSD
